,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.13778878,0.22277228,de,20.20000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Hitzerekord,Hitzerekord,LOC,-0.20603015,0.10050251,de,19.90000000,,0,,,,,,
Österreichs,Österreichs,LOC,-0.04737733,0.16920474,de,19.70000000,,13513071,S,48.20430000,16.37016000,EUROPE,Austria,WCE
Frankreichs,Frankreichs,LOC,-0.16406250,0.07812500,de,19.20000000,,0,,,,,,
Brandenburgs,Brandenburgs,LOC,0.18617021,0.00000000,de,18.80000000,,8181624,S,52.36213000,13.50168000,EUROPE,Germany,WCE
“,“,LOC,0.03932584,0.16853933,de,17.80000000,,0,,,,,,
Niedersachsen,Niedersachsen,LOC,0.12063953,0.11627907,de,17.20000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
Hohe Waldbrandgefahr,Hohe Waldbrandgefahr,LOC,-0.11627907,0.00000000,de,17.20000000,,0,,,,,,
Donau,Donau,LOC,-0.09202454,0.27607362,de,16.30000000,4041719-0,2866070,P,48.73218000,11.18709000,EUROPE,Germany,WCE
Chile,Chile,LOC,-0.12883436,0.00000000,de,16.30000000,4009929-5,3895114,A,-30.00000000,-71.00000000,SOUTH-AMERICA,Chile,SWS
Kanada,Kanada,LOC,-0.12037037,0.09259259,de,16.20000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Bayerns,Bayerns,LOC,-0.21794872,0.03205128,de,15.60000000,,0,,,,,,
Saharastaub,Saharastaub,LOC,-0.12337662,0.00000000,de,15.40000000,,0,,,,,,
London,London,LOC,0.14935065,0.06493506,de,15.40000000,4074335-4,2643743,P,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.08843537,0.05668934,de,14.70000000,4242861-0,2872567,A,53.83333000,12.50000000,EUROPE,Germany,WCE
Brasilien,Brasilien,LOC,0.25680272,0.06802721,de,14.70000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Japan,Japan,LOC,-0.17808219,0.13698630,de,14.60000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Alpen,Alpen,LOC,-0.22916667,0.13888889,de,14.40000000,4001328-5,682673,T,45.50000000,24.25000000,EUROPE,Romania,WCE
Freistaat,Freistaat,LOC,0.02314815,0.12731481,de,14.40000000,4059979-6,2822542,A,50.91667000,11.00000000,EUROPE,Germany,WCE
Mittelmeer,Mittelmeer,LOC,-0.07352941,0.22058824,de,13.60000000,4074895-9,363196,H,35.00000000,20.00000000,EUROPE-AFRICA,,MED
Kreta,Kreta,LOC,0.05147059,0.00000000,de,13.60000000,4073791-3,258763,T,35.20523000,24.90308000,EUROPE-AFRICA,Greece,MED
Türkei,Türkei,LOC,0.00246914,0.09876543,de,13.50000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Waldbrand,Waldbrand,LOC,0.00370370,0.11111111,de,13.50000000,,0,,,,,,
Hitzewellen,Hitzewellen,LOC,-0.03358209,0.29850746,de,13.40000000,,0,,,,,,
Steiermark,Steiermark,LOC,0.07954545,0.11363636,de,13.20000000,4057092-7,2764581,A,47.25000000,15.16667000,EUROPE,Austria,WCE
Starkregen,Starkregen,LOC,-0.42063492,0.00000000,de,12.60000000,,0,,,,,,
Bund,Bund,LOC,0.05600000,0.24000000,de,12.50000000,,10519668,L,20.49241000,79.45535000,ASIA,India,SAS
Kommunen,Kommunen,LOC,-0.12500000,0.43010753,de,12.40000000,4115052-1,2994935,P,48.30337000,-0.61383000,EUROPE,France,WCE
Belém,Belém,LOC,-0.08264463,0.08264463,de,12.10000000,4208294-8,3405870,P,-1.45583000,-48.50444000,SOUTH-AMERICA,Brazil,NES
Flüssen,Flüssen,LOC,-0.35123967,0.00000000,de,12.10000000,,2926035,P,48.21861000,10.27462000,EUROPE,Germany,WCE
Bordeaux,Bordeaux,LOC,-0.06779661,0.04237288,de,11.80000000,4088072-2,3031582,P,44.84124000,-0.58046000,EUROPE-AFRICA,France,MED
Argentiniens,Argentiniens,LOC,-0.17090395,0.07062147,de,11.80000000,,0,,,,,,
Athen,Athen,LOC,-0.03107345,0.00000000,de,11.80000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Dauereinsatz,Dauereinsatz,LOC,-0.05982906,0.25641026,de,11.70000000,,0,,,,,,
Indien,Indien,LOC,-0.31339031,0.54131054,de,11.70000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Offenbach,Offenbach,LOC,-0.04885057,0.02873563,de,11.60000000,4043359-6,2857807,P,50.10061000,8.76647000,EUROPE,Germany,WCE
Southside-Festival,Southside-Festival,LOC,-0.06034483,0.00000000,de,11.60000000,,0,,,,,,
Iran,Iran,LOC,-0.18640351,0.26315789,de,11.40000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Klimawandel,Klimawandel,LOC,-0.09174312,0.27522936,de,10.90000000,,0,,,,,,
Chiemsee,Chiemsee,LOC,-0.12385321,0.13761468,de,10.90000000,130571850X,2940125,H,47.88333000,12.46667000,EUROPE,Germany,WCE
Treibhausgasen,Treibhausgasen,LOC,0.15596330,0.00000000,de,10.90000000,,0,,,,,,
Nordsee,Nordsee,LOC,0.06481481,0.09259259,de,10.80000000,4042579-4,2960848,H,55.33333000,3.00000000,EUROPE,,NEU
Kärnten,Kärnten,LOC,-0.02024922,0.28037383,de,10.70000000,4029175-3,2774686,A,46.75000000,13.83333000,EUROPE,Austria,WCE
China,China,LOC,-0.31818182,0.35353535,de,9.90000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
El Niño,El Niño,LOC,0.07070707,0.00000000,de,9.90000000,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
Oberrhein,Oberrhein,LOC,0.14432990,0.10309278,de,9.70000000,4042966-0,12077021,L,48.95947000,8.36214000,EUROPE,Germany,WCE
Staaten,Staaten,LOC,0.14236111,0.24305556,de,9.60000000,4078704-7,6252001,A,39.76000000,-98.50000000,NORTH-AMERICA,United States,CNA
Köln,Köln,LOC,-0.07526882,0.00000000,de,9.30000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
