0,1,2,3,4,word,summary
82759.94920689665,2.485307406927582,-0.007986454697802792,0.0043826319422785,-0.010254847056803434,summaryOfAllWords,75300.74436453401
-5.883833605850614,0.8498042245735673,-0.06325589007706381,-0.14278165202345428,0.3345190972853785,Unbemannte,2.352969059035696
-5.881437958391663,0.8478380449597134,-0.06363282815193186,-0.14447353997348844,0.33971329387218496,Flugkörper,2.3560011665697913
-5.881437958391663,0.8478380449597134,-0.06363282815193186,-0.14447353997348844,0.33971329387218496,un+bemannt+e flug+körper,2.3560011665697913
-5.539397798443112,0.49916028678165136,-0.10261721602372528,-0.31589164072990866,0.885223783314934,Drohnenalarm,2.815595315368924
-5.878644228050718,0.8455309623378473,-0.064069976857202,-0.1464347195985536,0.34573802818937305,flug+körper droh+n+en+alarm,2.3595427467950665
0.6754765518065664,-2.1684600919892105,0.5834615930436916,0.010385878927449545,-0.008628882442336921,Europa,9.581685001917473
-5.874585188771118,0.842152184435905,-0.06470050112444076,-0.14926161949174943,0.3544294765089037,droh+n+en+alarm europa,2.3646989762384654
4.9441643193305485,-4.452023969521507,-0.6742136439240577,0.9267815468233692,-0.2577071924685577,Nicht,14.377556082883984
-5.872673499930912,0.8405500456360739,-0.06499558147440154,-0.1505838490025094,0.35849768788515474,europa nicht,2.367131706853021
-3.3949463624922664,-0.8507020488664128,1.32566236636926,-0.7112677318778792,-0.08161257697149663,erst,5.3496664287449
-5.870961675284496,0.8391095972157632,-0.0652587980846219,-0.15176290387169258,0.36212697718235887,nicht erst,2.369312403616499
-5.868255859962076,0.8368216577781571,-0.06567291251068963,-0.15361713704477375,0.3678376130896989,Vorfälle,2.3727637395580135
-5.868255859962076,0.8368216577781571,-0.06567291251068963,-0.15361713704477375,0.3678376130896989,erst vorfall+e,2.3727637395580135
-5.6402659252389435,0.6106326686803885,-0.09357716763215723,-0.27663301873898694,0.7563851092484773,Kopenhagen,2.6767160954123193
-5.864360375966715,0.8335042804466666,-0.06626495486490831,-0.15626645820107093,0.3760034748525875,vorfall+e kopenhagen,2.3777418423120578
-5.858950977738625,0.8288526029641126,-0.06707905728286523,-0.15990640754655713,0.3872353382506664,Oslo,2.3846724547707456
-5.858950977738625,0.8288526029641126,-0.06707905728286523,-0.15990640754655713,0.3872353382506664,kopenhagen oslo,2.3846724547707456
-5.854530472239823,0.8250133082735487,-0.06773748991203454,-0.16284775228029963,0.3963223060340921,gezeigt,2.390351128268118
-5.854530472239823,0.8250133082735487,-0.06773748991203454,-0.16284775228029963,0.3963223060340921,oslo ge+zeig+t,2.390351128268118
-5.848706759881127,0.8199045334099571,-0.06859566706691528,-0.16667793796986857,0.4081698985959149,verwundbar,2.397852487721959
-5.848706759881127,0.8199045334099571,-0.06859566706691528,-0.16667793796986857,0.4081698985959149,ge+zeig+t verwund+bar,2.397852487721959
-5.380568936688071,0.5287094641557022,0.22333478656838443,0.42734416325273883,0.4579338942399663,Westen,2.9461603968708405
-5.840990641920635,0.8130494969388122,-0.06971675091039792,-0.17167566050067148,0.42365418663493204,verwund+bar westen,2.40782549355928
-5.8332034944607685,0.8060354262699356,-0.07083007231871816,-0.17663225830259202,0.43903974611183594,unbemannte,2.4179282281756005
-5.8332034944607685,0.8060354262699356,-0.07083007231871816,-0.17663225830259202,0.43903974611183594,westen un+bemannt+e,2.4179282281756005
-5.825587368469236,0.79908590538066,-0.07190173976647882,-0.18139732522752114,0.45385817251520855,Fluggeräte,2.427844435230915
-5.825587368469236,0.79908590538066,-0.07190173976647882,-0.18139732522752114,0.45385817251520855,un+bemannt+e flug+gerät+e,2.427844435230915
-3.5896692513655495,-0.3627270048716089,-0.5325641879116843,-0.7020121795367481,-0.04870665485488038,Lösungen,4.934799762173716
0.22203778408237262,-2.035955580162652,-0.37708631993951713,-0.5333416351266079,0.2937456550228074,dringend,9.100732454233999
-5.79747223238906,0.7727220556966845,-0.0757162401924697,-0.19831061530320776,0.5066786838851081,lösung+en dring+end,2.4647301634597727
-5.7857503858056045,0.7614276933119022,-0.07724356983595801,-0.20506240526117298,0.527865241792607,gesucht,2.4802277881040125
-5.7857503858056045,0.7614276933119022,-0.07724356983595801,-0.20506240526117298,0.527865241792607,dring+end ge+such+t,2.4802277881040125
172.49425113475547,-80.46733262740807,3.5846815809977595,-1.3969420027365431,0.5815908563919812,Die,198.42857318666185
-4.756722659975163,0.20106325072393427,0.8228674608124389,-0.1660651190060816,0.2706540298397342,Industrie,3.6640968239906124
-5.764178876269998,0.740227385769868,-0.0799626423809862,-0.21705477991364674,0.5656436829778925,der industrie,2.5089108551258894
-5.016615493552992,0.16941709345954248,-0.4257407836537406,-0.3672465271680929,0.691086351309683,arbeitet,3.423071802957151
-5.741775077856358,0.7176957165829232,-0.08266707967591394,-0.2289488090022434,0.6033051525642953,industrie arbeit+et,2.538901512068768
-5.46928752349451,0.4201923915748491,-0.10805709391807236,-0.33948491839346595,0.9640263327120964,Hochdruck,2.912663281607396
-5.46928752349451,0.4201923915748491,-0.10805709391807236,-0.33948491839346595,0.9640263327120964,arbeit+et hochdruck,2.912663281607396
-2.64796586419717,-0.7909859980819602,-0.0986816197553217,-0.5964433569619857,0.21440336291445167,daran,5.981330630836977
-5.641719652964099,0.6122104832593829,-0.09343486877282611,-0.27601367479015265,0.7543739184786387,hochdruck daran,2.674725318025574
-0.5730439288769666,-2.146622477462528,1.514640084700485,-0.30179465472479045,1.0107092659283494,Nur,8.461143119630878
3.841852931219515,-3.770442081149251,-0.47929416113540557,-0.7013616222793635,-0.09962154633910301,zwei,13.109895612846127
